time,goodput,replaced
1575004685,3,0
1575004685,3,0
1575004685,3,0
1575004685,3,0
1575004685,3,0
1575004685,3,0
1575004685,3,0
1575004685,3,0
1575004685,3,0
1575004685,3,0
1575004685,3,0
1575004685,3,0
1575004685,3,0
1575004685,3,0
1575004685,3,0
1575004685,3,3
1575004685,3,3
1575004685,3,3
1575004685,3,3
1575004685,3,3
1575004685,3,3
1575004685,3,3
1575004685,3,3
1575004685,3,3
1575004685,3,3
1575004685,613,613
1575004685,544,544
1575004685,305,304
1575004685,308,307
1575004685,305,304
1575004685,314,313
1575004685,302,301
1575004685,310,309
1575004685,309,308
1575004685,312,311
1575004685,301,300
1575004685,308,307
1575004685,312,311
1575004685,301,300
1575004685,302,301
1575004685,304,303
1575004685,299,298
1575004685,301,300
1575004685,299,298
1575004685,295,294
1575004685,304,303
1575004685,405,404
1575004685,494,493
1575004685,404,403
1575004685,284,283
1575004685,287,286
1575004685,384,383
1575004685,410,409
1575004685,289,288
1575004685,293,292
1575004685,287,286
1575004685,295,294
1575004685,329,328
1575004685,287,286
1575004685,291,290
1575004685,292,291
1575004685,288,287
1575004685,290,289
1575004685,285,284
1575004685,287,286
1575004685,287,286
1575004685,285,284
1575004685,282,281
1575004685,410,409
1575004685,277,276
1575004685,278,277
1575004685,267,266
1575004685,291,290
1575004685,280,279
1575004685,276,275
1575004685,284,283
1575004685,283,282
1575004685,269,268
1575004685,278,277
1575004685,262,261
1575004685,284,283
1575004685,291,290
1575004685,286,285
1575004685,297,296
1575004685,287,286
1575004685,299,298
1575004685,298,297
1575004685,301,300
1575004685,298,297
1575004685,295,294
1575004685,288,287
1575004685,282,281
1575004685,282,281
1575004685,285,284
1575004685,294,293
1575004685,286,285
1575004685,296,295
1575004685,291,290
1575004685,285,284
1575004685,290,289
1575004685,291,290
1575004685,285,284
1575004685,289,288
1575004685,284,283
1575004685,287,286
1575004685,294,293
1575004685,289,288
1575004685,290,289
1575004685,293,292
1575004685,294,293
1575004685,294,293
1575004685,295,294
1575004685,289,288
1575004685,294,293
1575004685,291,290
1575004685,295,294
1575004685,294,293
1575004685,300,299
1575004685,294,293
1575004685,360,359
1575004685,292,291
1575004685,290,289
1575004685,300,299
1575004685,292,291
1575004685,294,293
1575004685,296,295
1575004685,297,296
1575004685,291,290
1575004685,299,298
1575004685,292,291
1575004685,382,381
1575004685,285,284
1575004685,296,295
1575004685,287,286
1575004685,289,288
1575004685,291,290
1575004685,419,418
1575004685,286,285
1575004685,301,300
1575004685,532,531
1575004685,268,267
1575004685,262,261
1575004685,368,367
1575004685,253,252
1575004685,251,250
1575004685,233,232
1575004685,239,238
1575004685,289,288
1575004685,237,236
1575004685,227,226
1575004685,225,224
1575004685,279,278
1575004685,309,308
1575004685,335,334
1575004685,281,280
1575004685,273,272
1575004685,338,337
1575004685,257,256
1575004685,275,274
1575004685,254,253
1575004685,254,253
1575004685,252,251
1575004685,258,257
1575004685,315,314
1575004685,403,402
1575004685,239,238
1575004685,259,258
1575004685,253,252
1575004685,241,240
1575004685,241,240
1575004685,263,262
1575004685,260,259
