time,goodput,replaced
1575004955,46842,46842
1575004955,2353,2353
1575004955,277,277
1575004955,220,220
1575004955,233,233
1575004955,174,174
1575004955,210,210
1575004955,319,319
1575004955,266,266
1575004955,282,282
1575004955,241,241
1575004955,92,92
1575004955,6732,6661
1575004955,599,528
1575004955,472,401
1575004955,389,318
1575004955,275,204
1575004955,155,84
1575004955,129,58
1575004955,170,99
1575004955,231,160
1575004955,187,116
1575004955,125,54
1575004955,1824,1753
1575004955,247,176
1575004955,206,135
1575004955,106,35
1575004955,106,35
1575004955,105,34
1575004955,98,27
1575004955,100,29
1575004955,98,27
1575004955,99,28
1575004955,140,69
1575004955,176,105
1575004955,98,27
1575004955,96,25
1575004955,96,25
1575004955,98,27
1575004955,96,25
1575004955,96,25
1575004955,99,28
1575004955,96,25
1575004955,96,25
1575004955,122,51
1575004955,147,76
1575004955,96,25
1575004955,96,25
1575004955,96,25
1575004955,96,25
1575004955,96,25
1575004955,109,38
1575004955,3,3
1575004955,644,644
1575004955,359,359
1575004955,444,444
1575004955,302,302
1575004955,303,303
1575004955,327,327
1575004955,363,363
1575004955,370,370
1575004955,377,377
1575004955,364,364
1575004955,348,348
1575004955,350,350
1575004955,363,363
1575004955,363,363
1575004955,420,420
1575004955,373,373
1575004955,311,311
1575004955,300,300
1575004955,300,300
1575004955,311,311
1575004955,287,287
1575004955,273,273
1575004955,256,256
1575004955,236,236
1575004955,217,217
1575004955,216,216
1575004955,231,231
1575004955,294,294
1575004955,270,270
1575004955,270,269
1575004955,340,340
1575004955,354,354
1575004955,343,343
1575004955,338,338
1575004955,360,360
1575004955,329,329
1575004955,306,306
1575004955,286,286
1575004955,289,289
1575004955,273,273
1575004955,298,298
1575004955,282,282
1575004955,283,283
1575004955,368,368
1575004955,255,255
1575004955,235,235
1575004955,218,218
1575004955,218,218
1575004955,219,219
1575004955,221,221
1575004955,239,239
1575004955,242,242
1575004955,292,292
1575004955,296,296
1575004955,304,304
1575004955,438,438
1575004955,449,449
1575004955,336,336
1575004955,304,304
1575004955,309,309
1575004955,309,309
1575004955,296,296
1575004955,253,253
1575004955,283,283
1575004955,319,319
1575004955,311,311
1575004955,329,329
1575004955,319,319
1575004955,321,321
1575004955,370,370
1575004955,347,347
1575004955,321,321
1575004955,310,310
1575004955,321,321
1575004955,292,292
1575004955,287,287
1575004955,368,368
1575004955,288,288
1575004955,291,291
1575004955,297,297
1575004955,287,287
1575004955,575,575
1575004955,334,334
1575004955,362,362
1575004955,360,360
1575004955,326,326
1575004955,303,303
1575004955,268,268
1575004955,256,256
1575004955,301,301
1575004955,316,316
1575004955,324,324
1575004955,346,346
1575004955,338,338
1575004955,383,383
1575004955,398,398
1575004955,587,587
1575004955,249,249
1575004955,281,280
1575004955,302,302
1575004955,282,282
1575004955,280,280
1575004955,267,267
1575004955,246,246
1575004955,288,288
1575004955,255,255
1575004955,246,246
1575004955,253,253
1575004955,293,292
1575004955,276,275
1575004955,276,275
1575004955,320,319
1575004955,242,241
1575004955,223,222
1575004955,219,218
1575004955,280,279
1575004955,273,272
1575004955,372,371
1575004955,304,303
1575004955,451,450
1575004955,475,474
1575004955,307,306
1575004955,317,316
1575004955,411,410
1575004955,405,404
1575004955,260,259
1575004955,319,318
1575004955,306,305
1575004955,310,309
1575004955,397,396
1575004955,340,339
1575004955,286,285
1575004955,291,290
1575004955,422,421
1575004955,307,306
1575004955,361,360
1575004955,276,275
1575004955,449,448
1575004955,297,296
1575004955,313,312
1575004955,330,329
1575004955,387,386
1575004955,378,377
1575004955,404,403
1575004955,363,362
1575004955,551,550
1575004955,285,284
1575004955,408,407
1575004955,286,285
1575004955,281,280
1575004955,283,282
1575004955,385,384
1575004955,383,382
1575004955,349,348
1575004955,293,292
1575004955,294,293
1575004955,311,310
1575004955,294,293
1575004955,342,341
1575004955,356,355
1575004955,289,288
1575004955,296,295
1575004955,276,275
1575004955,294,293
1575004955,289,288
1575004955,286,285
1575004955,298,297
1575004955,499,498
1575004955,436,435
1575004955,301,300
1575004955,307,306
1575004955,432,431
1575004955,328,327
1575004955,312,311
1575004955,377,376
1575004955,468,467
1575004955,306,305
1575004955,292,291
1575004955,296,295
1575004955,306,305
1575004955,313,312
1575004955,302,301
1575004955,486,485
1575004955,267,266
1575004955,290,289
1575004955,436,435
1575004955,324,323
1575004955,396,395
1575004955,279,278
1575004955,277,276
1575004955,277,276
1575004955,274,273
1575004955,282,281
1575004955,304,303
1575004955,327,326
1575004955,306,305
1575004955,320,319
1575004955,319,318
1575004956,15127,15056
1575004956,9756,9685
1575004956,388,317
1575004956,567,496
1575004956,817,746
1575004956,1083,1012
1575004956,411,340
1575004956,343,272
1575004956,459,388
1575004956,275,204
1575004956,308,237
1575004956,175,104
1575004956,8655,8584
1575004956,817,746
1575004956,532,461
1575004956,625,554
1575004956,825,754
1575004956,852,781
1575004956,760,689
1575004956,604,533
1575004956,595,524
1575004956,423,352
1575004956,175,104
1575004956,11823,11752
1575004956,1727,1656
1575004956,529,458
1575004956,557,486
1575004956,602,531
1575004956,554,483
1575004956,501,430
1575004956,493,422
1575004956,422,351
1575004956,263,192
1575004956,121,50
1575004956,6461,6390
1575004956,417,346
1575004956,381,310
1575004956,416,345
1575004956,470,399
1575004956,501,430
1575004956,431,360
1575004956,385,314
1575004956,316,245
1575004956,202,131
1575004956,110,39
1575004956,6599,6528
1575004956,328,257
1575004956,418,347
1575004956,454,383
1575004956,302,301
1575004956,300,299
1575004956,302,301
1575004956,308,307
1575004956,299,298
1575004956,295,294
1575004956,573,572
1575004956,289,288
1575004956,319,318
1575004956,309,308
1575004956,307,306
1575004956,323,322
1575004956,469,468
1575004956,315,314
1575004956,302,301
1575004956,370,369
1575004956,323,322
1575004956,324,323
1575004956,340,339
1575004956,355,354
1575004956,645,644
1575004956,521,520
1575004956,346,345
1575004956,329,328
1575004956,320,319
1575004956,324,323
1575004956,321,320
1575004956,320,319
1575004956,322,321
1575004956,306,305
1575004956,284,283
1575004956,366,365
1575004956,284,283
1575004956,302,301
1575004956,640,639
1575004956,337,336
1575004956,309,308
1575004956,329,328
1575004956,387,386
1575004956,365,364
1575004956,323,322
1575004956,307,306
1575004956,303,302
1575004956,309,308
1575004956,311,310
1575004956,355,354
1575004956,319,318
1575004956,458,457
1575004956,458,457
1575004956,331,330
1575004956,326,325
1575004956,326,325
1575004956,313,312
1575004956,290,289
1575004956,288,287
1575004956,309,308
1575004956,316,315
1575004956,319,318
1575004956,303,302
1575004956,302,301
1575004956,304,303
1575004956,323,322
1575004956,575,574
1575004956,298,297
1575004956,347,346
1575004956,356,355
1575004956,361,360
1575004956,607,606
1575004956,371,370
1575004956,371,370
1575004956,416,415
1575004956,335,334
1575004956,342,341
1575004956,335,334
1575004956,346,345
1575004956,638,637
1575004956,490,489
1575004956,358,357
1575004956,355,354
1575004956,353,352
1575004956,609,608
1575004956,368,367
1575004956,354,353
1575004956,580,579
1575004956,369,368
1575004956,500,499
1575004956,329,328
1575004956,315,314
1575004956,315,314
1575004956,641,640
1575004956,386,385
1575004956,490,489
1575004956,332,331
1575004956,351,350
1575004956,360,359
1575004956,335,334
1575004956,312,311
1575004956,310,309
1575004956,306,305
1575004956,319,318
1575004956,320,319
1575004956,314,313
1575004956,402,401
1575004956,323,322
1575004956,329,328
1575004956,323,322
1575004956,327,326
1575004956,335,334
1575004956,332,331
1575004956,321,320
1575004956,319,318
1575004956,610,609
1575004956,296,295
1575004956,295,294
1575004956,298,297
1575004956,305,304
1575004956,295,294
1575004956,316,315
1575004956,327,326
1575004956,329,328
1575004956,337,336
1575004956,318,317
1575004956,322,321
1575004956,324,323
1575004956,320,319
1575004956,426,425
1575004956,380,379
1575004956,315,314
1575004956,492,491
1575004956,301,300
1575004956,309,308
1575004956,311,310
1575004956,316,315
1575004956,358,357
1575004956,325,324
1575004956,317,316
1575004956,320,319
1575004956,327,326
1575004956,323,322
1575004956,328,327
1575004956,322,321
1575004956,320,319
1575004956,322,321
1575004956,327,326
1575004956,326,325
1575004956,638,637
1575004956,355,354
1575004956,330,329
1575004956,314,313
1575004956,301,300
1575004956,287,286
1575004956,441,440
1575004956,314,313
1575004956,315,314
1575004956,334,333
1575004956,327,326
1575004956,324,323
1575004956,321,320
1575004956,298,297
1575004956,441,440
1575004956,259,258
1575004956,281,280
1575004956,361,360
1575004956,313,312
1575004956,323,322
1575004956,312,311
1575004956,307,306
1575004956,334,333
1575004956,338,337
1575004956,324,323
1575004956,445,444
1575004956,322,321
1575004956,303,302
1575004956,304,303
1575004956,279,278
1575004956,277,276
1575004956,372,371
1575004956,294,293
1575004956,299,298
1575004956,295,294
1575004956,309,308
1575004956,300,299
1575004956,426,425
1575004956,321,320
1575004957,1413,1342
1575004957,546,475
1575004957,512,441
1575004957,414,343
1575004957,349,278
1575004957,259,188
1575004957,124,53
1575004957,9381,9310
1575004957,470,399
1575004957,428,357
1575004957,426,355
1575004957,419,348
1575004957,556,485
1575004957,531,460
1575004957,477,406
1575004957,496,425
1575004957,447,376
1575004957,440,369
1575004957,135,64
1575004957,4293,4222
1575004957,1621,1550
1575004957,342,271
1575004957,265,194
1575004957,260,189
1575004957,264,193
1575004957,221,150
1575004957,181,110
1575004957,170,99
1575004957,153,82
1575004957,135,64
1575004957,172,101
1575004957,4443,4372
1575004957,4673,4602
1575004957,370,299
1575004957,307,236
1575004957,398,327
1575004957,396,325
1575004957,415,344
1575004957,327,256
1575004957,362,291
1575004957,274,203
1575004957,212,141
1575004957,162,91
1575004957,5747,5676
1575004957,1299,1228
1575004957,393,322
1575004957,404,333
1575004957,498,427
1575004957,256,185
1575004957,220,149
1575004957,140,69
1575004957,226,155
1575004957,114,43
1575004957,104,33
1575004957,126,55
1575004957,3238,3167
1575004957,98,27
1575004957,591,520
1575004957,548,477
1575004957,643,572
1575004957,635,564
1575004957,484,413
1575004957,270,199
1575004957,119,48
1575004957,3592,3521
1575004957,270,199
1575004957,233,162
1575004957,226,155
1575004957,293,222
1575004957,248,177
1575004957,207,136
1575004957,181,110
1575004957,175,104
1575004957,186,115
1575004957,108,37
1575004957,1221,1150
1575004957,288,217
1575004957,287,216
1575004957,249,178
1575004957,334,263
1575004957,236,165
1575004957,254,183
1575004957,236,165
1575004957,197,126
1575004957,113,42
1575004957,4137,4066
1575004957,1091,1020
1575004957,209,138
1575004957,200,129
1575004957,191,120
1575004957,199,128
1575004957,204,133
1575004957,210,139
1575004957,222,151
1575004957,211,140
1575004957,224,153
1575004957,161,90
1575004957,1306,1235
1575004957,265,194
1575004957,268,197
1575004957,283,212
1575004957,274,203
1575004957,278,207
1575004957,261,190
1575004957,260,189
1575004957,218,147
1575004957,189,118
1575004957,181,110
1575004957,4188,4117
1575004957,360,289
1575004957,470,399
1575004957,407,336
1575004957,428,357
1575004957,361,290
1575004957,270,199
1575004957,283,212
1575004957,230,159
1575004957,192,121
1575004957,137,66
1575004957,3805,3734
1575004957,238,167
1575004957,254,183
1575004957,2709,2638
1575004957,481,410
1575004957,481,410
1575004957,617,546
1575004957,534,463
1575004957,558,487
1575004957,556,485
1575004957,117,46
1575004957,3902,3831
1575004957,500,429
1575004957,696,625
1575004957,106,35
1575004957,2215,2144
1575004957,362,291
1575004957,593,522
1575004957,349,278
1575004957,105,34
1575004957,302,301
1575004957,293,292
1575004957,491,490
1575004957,322,321
1575004957,336,335
1575004957,466,465
1575004957,371,370
1575004957,380,379
1575004957,373,372
1575004957,504,503
1575004957,371,370
1575004957,367,366
1575004957,505,504
1575004957,355,354
1575004957,372,371
1575004957,361,360
1575004957,642,641
1575004957,364,363
1575004957,318,317
1575004957,285,284
1575004957,297,296
1575004957,309,308
1575004957,302,301
1575004957,299,298
1575004957,313,312
1575004957,472,471
1575004957,338,337
1575004957,334,333
1575004957,287,286
1575004957,308,307
1575004957,464,463
1575004957,310,309
1575004957,296,295
1575004957,298,297
1575004957,303,302
1575004957,310,309
1575004957,309,308
1575004957,294,293
1575004957,302,301
1575004957,310,309
1575004957,314,313
1575004957,305,304
1575004957,319,318
1575004957,539,538
1575004957,399,398
1575004957,301,300
1575004957,292,291
1575004957,297,296
1575004957,288,287
1575004957,298,297
1575004957,309,308
1575004957,308,307
1575004957,304,303
1575004957,300,299
1575004957,298,297
1575004957,297,296
1575004957,376,375
1575004957,297,296
1575004957,438,437
1575004957,522,521
1575004957,409,408
1575004957,380,379
1575004957,386,385
1575004957,392,391
1575004957,396,395
1575004957,389,388
1575004957,389,388
1575004957,400,399
1575004957,390,389
1575004957,408,407
1575004957,415,414
1575004957,407,406
1575004957,397,396
1575004957,398,397
1575004957,402,401
1575004957,389,388
1575004957,389,388
1575004957,395,394
1575004957,400,399
1575004957,400,399
1575004957,392,391
1575004957,379,378
1575004957,398,397
1575004957,395,394
1575004957,394,393
1575004957,396,395
1575004957,404,403
1575004957,397,396
1575004957,391,390
1575004957,400,399
1575004957,404,403
1575004957,399,398
1575004957,394,393
1575004957,391,390
1575004957,389,388
1575004957,402,401
1575004957,634,633
1575004957,328,327
1575004957,319,318
1575004957,309,308
1575004957,291,290
1575004957,291,290
1575004957,285,284
1575004957,286,285
1575004957,283,282
1575004957,289,288
1575004957,286,285
1575004957,284,283
1575004957,288,287
1575004957,285,284
1575004957,289,288
1575004957,284,283
1575004957,362,361
1575004957,336,335
1575004957,277,276
1575004957,285,284
1575004957,287,286
1575004957,288,287
1575004957,279,278
1575004957,283,282
1575004957,282,281
1575004957,285,284
1575004957,286,285
1575004957,304,303
1575004957,301,300
1575004957,303,302
1575004957,304,303
1575004957,292,291
1575004957,283,282
1575004957,296,295
1575004957,294,293
1575004957,289,288
1575004957,292,291
1575004957,290,289
1575004957,289,288
1575004957,285,284
1575004957,292,291
1575004957,296,295
1575004957,407,406
1575004957,283,282
1575004957,285,284
1575004957,287,286
1575004957,299,298
1575004957,301,300
1575004957,305,304
1575004957,293,292
1575004957,302,301
1575004957,300,299
1575004957,290,289
1575004957,299,298
1575004957,291,290
1575004957,288,287
1575004957,291,290
1575004957,337,336
1575004957,293,292
1575004957,286,285
1575004957,305,304
1575004957,297,296
1575004957,297,296
1575004957,307,306
1575004957,295,294
1575004957,292,291
1575004957,291,290
1575004957,300,299
1575004957,302,301
1575004957,296,295
1575004957,308,307
1575004957,319,318
1575004957,314,313
1575004957,300,299
1575004957,300,299
1575004957,305,304
1575004957,304,303
1575004957,305,304
1575004957,301,300
1575004957,313,312
1575004957,306,305
1575004957,299,298
1575004957,296,295
1575004957,300,299
1575004957,301,300
1575004957,302,301
1575004957,565,564
1575004957,311,310
1575004957,315,314
1575004957,312,311
1575004957,310,309
1575004957,307,306
1575004957,318,317
1575004957,295,294
1575004957,296,295
1575004957,280,279
1575004957,295,294
1575004957,294,293
1575004957,298,297
1575004957,314,313
1575004957,318,317
1575004957,305,304
1575004957,314,313
1575004957,486,485
1575004957,291,290
1575004957,292,291
1575004957,280,279
1575004957,281,280
1575004957,257,256
1575004957,279,278
1575004957,292,291
1575004957,285,284
1575004957,282,281
1575004957,293,292
1575004957,311,310
1575004957,379,378
1575004957,259,258
1575004957,240,239
1575004957,227,226
1575004957,263,262
1575004957,249,248
1575004957,250,249
1575004957,267,266
1575004957,286,285
1575004957,415,414
1575004957,466,465
1575004957,304,303
1575004957,543,542
1575004957,263,262
1575004957,241,240
1575004957,226,225
1575004957,222,221
1575004957,243,242
1575004957,255,254
1575004957,282,281
1575004957,241,240
1575004957,231,230
1575004957,259,258
1575004957,409,408
1575004957,217,216
1575004957,233,232
1575004957,282,281
1575004957,282,281
1575004957,283,282
1575004957,282,281
1575004957,298,297
1575004957,335,334
1575004957,316,315
1575004957,266,265
1575004957,268,267
1575004957,274,273
1575004957,248,247
1575004957,241,240
1575004957,274,273
1575004957,330,329
1575004957,334,333
1575004957,311,310
1575004957,310,309
1575004957,340,339
1575004957,256,255
1575004957,246,245
1575004957,243,242
1575004957,233,232
1575004957,255,254
1575004957,249,248
1575004957,260,259
1575004957,263,262
1575004957,292,291
1575004957,284,283
1575004957,320,319
1575004957,350,349
1575004957,377,376
1575004957,348,347
1575004957,357,356
1575004957,358,357
1575004957,365,364
1575004957,359,358
1575004957,383,382
1575004957,409,408
1575004957,416,415
1575004957,426,425
1575004957,410,409
1575004957,399,398
1575004957,364,363
1575004957,532,531
1575004957,551,550
1575004957,422,421
1575004957,386,385
1575004957,385,384
1575004957,400,399
1575004957,403,402
1575004957,368,367
1575004957,386,385
1575004957,392,391
1575004957,344,343
1575004957,367,366
1575004957,361,360
1575004957,348,347
1575004957,377,376
1575004957,365,364
1575004957,356,355
1575004957,370,369
1575004957,348,347
1575004957,374,373
1575004957,341,340
1575004957,346,345
1575004957,340,339
1575004957,382,381
1575004957,375,374
1575004957,390,389
1575004957,418,417
1575004957,407,406
1575004957,386,385
1575004957,387,386
1575004957,339,338
1575004957,301,300
1575004957,409,408
1575004957,399,398
1575004957,398,397
1575004957,424,423
1575004957,431,430
1575004957,399,398
1575004957,357,356
1575004957,380,379
1575004957,399,398
1575004957,354,353
1575004957,465,464
1575004957,513,512
1575004957,500,499
1575004957,502,501
