time,goodput,replaced
1574998453,2886,2886
1574998453,1054,1054
1574998453,138,138
1574998453,130,130
1574998453,57,57
1574998453,42,42
1574998453,40,40
1574998453,39,39
1574998453,33,33
1574998453,23,23
1574998453,28,28
1574998453,22,22
1574998453,963,963
1574998453,56,56
1574998453,152,81
1574998453,86,86
1574998453,42,42
1574998453,75,75
1574998453,62,62
1574998453,38,38
1574998453,28,28
1574998453,28,28
1574998453,35,35
1574998453,3658,3658
1574998453,4678,4607
1574998453,573,502
1574998453,582,511
1574998453,576,505
1574998453,596,525
1574998453,638,567
1574998453,647,576
1574998453,635,564
1574998453,540,469
1574998453,377,306
1574998453,93,22
1574998453,343,272
1574998453,343,272
1574998453,336,265
1574998453,348,277
1574998453,8168,8097
1574998453,7823,7752
1574998453,482,411
1574998453,463,392
1574998453,444,373
1574998453,490,419
1574998453,466,395
1574998453,491,420
1574998453,669,598
1574998453,674,603
1574998453,410,339
1574998453,121,50
1574998453,615,544
1574998453,339,268
1574998453,307,236
1574998453,322,251
1574998453,221,150
1574998453,185,114
1574998453,196,125
1574998453,256,185
1574998453,269,198
1574998453,8232,8161
1574998453,1804,1733
1574998453,162,91
1574998453,182,111
1574998453,173,102
1574998453,126,55
1574998453,120,49
1574998453,134,63
1574998453,104,33
1574998453,106,35
1574998453,102,31
1574998453,90,19
1574998453,1191,1120
1574998453,124,53
1574998453,108,37
1574998453,136,65
1574998453,141,70
1574998453,157,86
1574998453,128,57
1574998453,133,62
1574998453,124,53
1574998453,107,36
1574998453,94,23
1574998453,1697,1626
1574998453,91,20
1574998453,89,18
1574998453,88,17
1574998453,87,16
1574998453,87,16
1574998453,87,16
1574998453,86,15
1574998453,86,15
1574998453,86,15
1574998453,86,15
1574998453,86,15
1574998453,86,15
1574998453,86,15
1574998453,3,3
1574998453,3,3
1574998453,4,3
1574998453,4,3
1574998453,628,627
1574998453,434,433
1574998453,323,322
1574998453,320,319
1574998453,316,315
1574998453,325,324
1574998453,338,337
1574998453,328,327
1574998453,337,336
1574998453,329,328
1574998453,330,329
1574998453,328,327
1574998453,340,339
1574998453,342,341
1574998453,336,335
1574998453,342,341
1574998453,350,349
1574998453,358,357
1574998453,380,379
1574998453,343,342
1574998453,312,311
1574998453,289,288
1574998453,270,269
1574998453,261,260
1574998453,322,321
1574998453,336,335
1574998453,326,325
1574998453,305,304
1574998453,284,283
1574998453,295,294
1574998453,291,290
1574998453,291,290
1574998453,275,274
1574998453,308,307
1574998453,355,354
1574998453,343,342
1574998453,332,331
1574998453,346,345
1574998453,355,354
1574998453,343,342
1574998453,309,308
