time,goodput,replaced
1575007259,624,624
1575007259,6479,6479
1575007259,1550,1550
1575007259,40,40
1575007259,27,27
1575007259,26,26
1575007259,25,25
1575007259,23,23
1575007259,23,23
1575007259,24,24
1575007259,23,23
1575007259,24,24
1575007259,23,23
1575007259,23,23
1575007259,24,24
1575007259,23,23
1575007259,23,23
1575007259,23,23
1575007259,23,23
1575007259,23,23
1575007259,24,24
1575007259,23,23
1575007259,24,24
1575007259,23,23
1575007259,24,24
1575007259,23,23
1575007259,23,23
1575007259,23,23
1575007259,23,23
1575007259,33,33
1575007259,2319,2319
1575007259,23,23
1575007259,102,102
1575007259,498,498
1575007259,31,31
1575007259,26,26
1575007259,23,23
1575007259,24,24
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,95,24
1575007259,94,23
1575007259,94,23
1575007259,101,30
1575007259,140,69
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,95,24
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,94,23
1575007259,95,24
1575007259,95,24
1575007259,8943,8872
1575007259,9706,9635
1575007259,1300,1229
1575007259,1492,1421
1575007259,1310,1239
1575007259,1324,1253
1575007259,1245,1174
1575007259,1101,1030
1575007259,1203,1132
1575007259,972,901
1575007259,841,770
1575007259,612,541
1575007259,124,53
1575007259,8191,8120
1575007259,1111,1040
1575007259,1312,1241
1575007259,1464,1393
1575007259,1527,1456
1575007259,1718,1647
1575007259,1878,1807
1575007259,1945,1874
1575007259,1804,1733
1575007259,1658,1587
1575007259,3,3
1575007259,3,3
1575007259,632,631
1575007259,572,572
1575007259,413,413
1575007259,356,356
1575007259,305,305
1575007259,305,305
1575007259,309,309
1575007259,306,306
1575007259,310,310
1575007259,301,301
1575007259,303,303
1575007259,302,301
1575007259,304,304
1575007259,303,303
1575007259,302,302
1575007259,295,295
1575007259,302,302
1575007259,302,302
1575007259,623,623
1575007259,513,513
1575007259,277,277
1575007259,284,284
1575007259,288,288
1575007259,287,287
1575007259,636,636
1575007259,595,595
1575007259,292,292
1575007259,289,289
1575007259,289,289
1575007259,295,295
1575007259,291,291
1575007259,296,296
1575007259,300,300
1575007259,295,295
1575007259,292,292
1575007259,300,300
1575007259,288,288
1575007259,281,281
1575007259,294,294
1575007259,285,285
1575007259,287,287
1575007259,282,282
1575007259,288,288
1575007259,302,302
1575007259,305,305
1575007259,306,306
1575007259,301,301
1575007259,305,305
1575007259,316,316
1575007259,311,311
1575007259,319,319
1575007259,311,311
1575007259,300,300
1575007259,307,307
1575007259,316,316
1575007259,305,305
1575007259,305,305
1575007259,312,312
1575007259,309,309
1575007259,314,314
1575007259,320,320
1575007259,322,322
1575007259,320,320
1575007259,323,323
1575007259,327,327
1575007259,341,341
1575007259,338,337
1575007259,344,343
1575007259,319,318
1575007259,319,318
1575007259,320,319
1575007259,638,637
1575007259,623,622
1575007259,554,553
1575007259,462,461
1575007259,500,499
1575007259,563,562
1575007259,605,604
1575007259,612,611
1575007259,340,339
1575007259,340,339
1575007259,541,540
1575007259,394,393
1575007259,369,368
1575007259,345,344
1575007259,323,322
1575007259,330,329
1575007259,486,485
1575007259,368,367
1575007259,353,352
1575007259,340,339
1575007259,346,345
1575007259,406,405
1575007259,322,321
1575007259,615,614
1575007259,473,472
1575007259,287,286
1575007259,336,335
1575007259,287,286
1575007259,298,297
1575007259,298,297
1575007259,303,302
1575007259,298,297
1575007259,296,295
1575007259,301,300
1575007259,301,300
1575007259,299,298
1575007259,291,290
1575007259,308,307
1575007259,308,307
1575007259,303,302
1575007259,314,313
1575007259,592,591
1575007259,485,484
1575007259,272,271
1575007259,288,287
1575007259,288,287
1575007259,290,289
1575007259,636,635
1575007259,557,556
1575007259,292,291
1575007259,291,290
1575007259,291,290
1575007259,291,290
1575007259,303,302
1575007259,301,300
1575007259,297,296
1575007259,309,308
1575007259,306,305
1575007259,318,317
1575007259,313,312
1575007259,312,311
1575007259,313,312
1575007259,303,302
1575007259,307,306
1575007259,320,319
1575007259,323,322
1575007259,325,324
1575007259,317,316
1575007259,308,307
1575007259,322,321
1575007259,315,314
1575007259,313,312
1575007259,303,302
1575007259,319,318
1575007259,316,315
1575007259,310,309
1575007259,319,318
1575007259,318,317
1575007259,311,310
1575007259,314,313
1575007259,317,316
1575007259,311,310
1575007259,580,579
1575007259,465,464
1575007259,288,287
1575007259,283,282
1575007259,291,290
1575007259,291,290
1575007259,291,290
1575007259,291,290
1575007259,299,298
1575007259,298,297
