time,goodput,replaced
1575005770,3,3
1575005770,585,585
1575005770,374,374
1575005770,370,370
1575005770,367,367
1575005770,365,365
1575005770,355,355
1575005770,372,372
1575005770,364,364
1575005770,351,351
1575005770,354,354
1575005770,372,372
1575005770,383,383
1575005770,403,403
1575005770,366,366
1575005770,352,352
1575005770,368,368
1575005770,362,362
1575005770,438,438
1575005770,351,351
1575005770,350,350
1575005770,344,344
1575005770,332,332
1575005770,505,505
1575005770,344,344
1575005770,323,323
1575005770,345,345
1575005770,349,349
1575005770,338,338
1575005770,314,314
1575005770,304,304
1575005770,320,320
1575005770,486,486
1575005770,367,367
1575005770,337,337
1575005770,334,334
1575005770,317,317
1575005770,331,331
1575005770,364,364
1575005770,358,358
1575005770,345,345
1575005770,349,349
1575005770,344,344
1575005770,332,332
1575005770,327,327
1575005770,326,326
1575005770,338,338
1575005770,368,368
1575005770,360,360
1575005770,355,355
1575005770,357,357
1575005770,327,327
1575005770,347,347
1575005770,319,319
1575005770,322,322
1575005770,319,319
1575005770,325,325
1575005770,515,515
1575005770,318,318
1575005770,316,316
1575005770,311,311
1575005770,309,309
1575005770,355,355
1575005770,307,307
1575005770,302,302
1575005770,298,298
1575005770,287,287
1575005770,283,283
1575005770,287,287
1575005770,295,295
1575005770,298,298
1575005770,292,292
1575005770,299,299
1575005770,330,330
1575005770,327,327
1575005770,325,325
1575005770,318,318
1575005770,311,311
1575005770,312,312
1575005770,306,306
1575005770,303,302
1575005770,310,309
1575005770,299,298
1575005770,296,295
1575005770,315,314
1575005770,326,325
1575005770,335,334
1575005770,355,354
1575005770,355,354
1575005770,334,333
1575005770,327,326
1575005770,320,319
1575005770,320,319
1575005770,315,314
1575005770,309,308
1575005770,297,296
1575005770,410,409
1575005770,291,290
1575005770,298,297
1575005770,307,306
1575005770,304,303
1575005770,318,317
1575005770,318,317
1575005770,319,318
1575005770,322,321
1575005770,317,316
1575005770,452,451
1575005770,294,293
1575005770,299,298
1575005770,299,298
1575005770,294,293
1575005770,295,294
1575005770,291,290
1575005770,289,288
1575005770,288,287
1575005770,286,285
1575005770,291,290
1575005770,287,286
1575005770,291,290
1575005770,288,287
1575005770,292,291
1575005770,292,291
1575005770,289,288
1575005770,289,288
1575005770,460,459
1575005770,491,490
1575005770,287,286
1575005770,502,501
1575005770,457,456
1575005770,290,289
1575005770,289,288
1575005770,432,431
1575005770,375,374
1575005770,288,287
1575005770,294,293
1575005770,296,295
1575005770,297,296
1575005770,296,295
1575005770,295,294
1575005770,301,300
1575005770,291,290
1575005770,303,302
1575005770,305,304
1575005770,302,301
1575005770,295,294
1575005770,308,307
1575005770,302,301
1575005770,297,296
1575005770,306,305
1575005770,303,302
1575005770,425,424
1575005770,298,297
1575005770,303,302
1575005770,302,301
1575005770,303,302
1575005770,299,298
1575005770,296,295
1575005770,297,296
1575005770,301,300
1575005770,311,310
1575005770,305,304
1575005770,306,305
1575005770,303,302
1575005770,301,300
1575005770,298,297
1575005770,303,302
1575005770,309,308
1575005770,299,298
1575005770,306,305
1575005770,337,336
1575005770,305,304
1575005770,310,309
1575005770,306,305
1575005770,306,305
1575005770,301,300
1575005770,309,308
1575005770,355,354
1575005770,302,301
1575005770,315,314
1575005770,316,315
1575005770,314,313
1575005770,316,315
1575005770,375,374
1575005770,315,314
1575005770,314,313
1575005770,368,367
1575005770,369,368
1575005770,317,316
1575005770,466,465
1575005770,337,336
1575005770,320,319
1575005770,460,459
1575005770,341,340
1575005770,312,311
1575005770,22524,22524
1575005770,1376,1376
1575005770,92,92
1575005770,96,96
1575005770,120,120
1575005770,108,108
1575005770,124,124
1575005770,120,120
1575005770,96,96
1575005770,95,95
1575005770,85,85
1575005770,96,96
1575005770,83,83
1575005770,82,82
1575005770,72,72
1575005770,58,58
1575005770,40,40
1575005770,2872,2872
1575005770,146,146
1575005770,128,128
1575005770,114,114
1575005770,140,140
1575005770,114,114
1575005770,112,112
1575005770,100,100
1575005770,110,110
1575005770,120,120
1575005770,106,106
1575005770,98,98
1575005770,76,76
1575005770,80,80
1575005770,56,56
1575005770,36,36
1575005770,9768,9768
1575005770,66,66
1575005770,79,79
1575005770,87,87
1575005770,81,81
1575005770,1715,1715
1575005770,1669,1669
1575005770,1863,1863
1575005770,1402,1402
1575005770,1166,1166
1575005770,1072,1072
1575005770,43,43
1575005770,9976,9976
1575005770,1253,1253
1575005770,1074,1074
1575005770,915,915
1575005770,1469,1469
1575005770,716,716
1575005770,534,534
1575005770,733,733
1575005770,765,765
1575005770,792,792
1575005770,783,783
1575005770,42,42
1575005770,7613,7613
1575005770,1628,1628
1575005770,1544,1544
1575005770,1407,1407
1575005770,1656,1656
1575005770,1359,1359
1575005770,1725,1725
1575005770,1373,1373
1575005770,1255,1255
1575005770,1126,1126
1575005770,783,783
1575005770,44,44
1575005770,5581,5581
